Term,CRN,Subj,Crse,Title,Campus,Enrollment,%Passing,A,B,C,P,D,F,NP,W,Other,ITV,TV,WEB,CLWEB,TVWEB
F07,42324,MTH,20,Basic Math,3,26,65.40%,6,5,6,0,2,5,0,2,0,0,0,0,0,0
F07,42325,MTH,20,Basic Math,3,28,64.30%,4,2,12,0,2,0,4,4,0,0,0,0,0,0
F07,42326,MTH,20,Basic Math,3,17,70.60%,4,6,2,0,1,0,3,0,1,0,0,0,0,0
F07,42327,MTH,20,Basic Math,3,13,53.80%,5,1,1,0,1,1,1,3,0,0,0,0,0,0
F07,42328,MTH,20,Basic Math,3,19,52.60%,2,6,2,0,2,5,0,1,1,0,0,0,0,0
F07,42329,MTH,20,Basic Math,3,29,37.90%,2,4,5,0,0,0,7,11,0,0,0,0,0,0
F07,42330,MTH,20,Basic Math,3,27,63.00%,5,7,5,0,2,6,0,2,0,0,0,0,0,0
F07,42332,MTH,60,Introductory Algebra- 1st Term,3,35,71.40%,11,8,6,0,5,1,0,4,0,0,0,0,0,0
F07,42333,MTH,60,Introductory Algebra- 1st Term,3,33,69.70%,7,8,8,0,3,1,0,5,1,0,0,0,0,0
F07,42338,MTH,95,Intermediate Algebra,3,20,75.00%,2,6,7,0,1,1,0,2,1,0,0,0,0,0
F07,42343,MTH,111B,"Col Alg-Bus,Mgmt,Life, Soc Sci",3,21,66.70%,6,1,6,1,4,1,2,0,0,0,0,0,0,0
F07,42344,MTH,243,Statistics I,3,28,82.10%,3,15,5,0,2,3,0,0,0,0,0,0,0,0
F07,42371,MTH,20,Basic Math,4,21,38.10%,3,2,3,0,3,7,0,2,1,0,0,0,0,0
F07,42372,MTH,20,Basic Math,4,29,55.20%,6,5,5,0,0,1,11,1,0,0,0,0,0,0
F07,42373,MTH,20,Basic Math,4,29,41.40%,3,3,6,0,1,14,0,2,0,0,0,0,0,0
F07,42375,MTH,95,Intermediate Algebra,3,25,56.00%,10,4,0,0,1,0,0,9,1,0,0,0,0,0
F07,42383,MTH,60,Introductory Algebra- 1st Term,4,38,73.70%,8,13,7,0,4,6,0,0,0,0,0,0,0,0
